coin,ver,dir,ret,mdd,calmar,n_trades,days
SPACE,v2,short,85.39491639754897,-41.02995918164825,2.081282021741424,279,91.10972222222222
ZAMA,v2,short,74.95313083142288,-18.02476454824358,4.158341743150629,247,104.10833333333332
OPN,v2,short,34.31942873343549,-13.711635329413982,2.502942056795661,129,60.10625
FOGO,v2,short,-0.5108289145449589,-33.30495934333811,-0.0153379233788837,207,103.10555555555555
BREV,v2,short,-12.28196281586968,-29.693216516553395,-0.4136285743588176,158,115.10138888888888
BASED,v2,long,26.61676325011938,-27.606397236119328,0.9641520051480988,159,25.10763888888889
BSB,v2,long,25.197053053478548,-18.74395352888345,1.3442763296788596,162,22.10763888888889
TRIA,v2,long,9.50571281876214,-25.45885503619288,0.3733755035428186,197,78.10694444444445
KITE,v2,long,5.50523807427403,-10.951684022972737,0.5026841591417356,39,15.102777777777778
EDGE,v2,long,11.491298644251245,-18.79155608755276,0.6115139475789823,104,23.100694444444443
