coin,trend%,best_dir,ret,mdd,calmar,n_trades,days,long_ret,long_mdd,short_ret,short_mdd
BONK,-27.1,long,-6.1,-108.85,-0.06,29,31.0,-6.1,-108.85,-17.41,-21.29
DOGE,-20.0,long,-3.09,-14.96,-0.21,19,31.0,-3.09,-14.96,-6.46,-12.52
FARTCOIN,-48.4,short,2.54,-17.06,0.15,58,31.0,-52.49,-106.81,2.54,-17.06
FLOKI,-14.1,short,-0.03,-15.54,-0.0,41,31.0,-17.77,-27.65,-0.03,-15.54
MEME,-35.9,short,3.53,-12.94,0.27,41,31.0,-16.35,-29.26,3.53,-12.94
ONDO,-22.3,short,8.61,-10.74,0.8,40,31.0,-19.39,-67.72,8.61,-10.74
ORDI,-41.5,long,-38.31,-111.58,-0.34,23,31.0,-38.31,-111.58,-16.86,-24.17
PEPE,-29.6,short,5.17,-11.01,0.47,37,31.0,-11.22,-19.99,5.17,-11.01
SHIB,-15.2,long,1.73,-28.5,0.06,14,31.0,1.73,-28.5,-5.3,-8.4
SUI,-27.5,short,-0.81,-8.6,-0.09,45,31.0,-16.61,-65.16,-0.81,-8.6
TURBO,-38.3,long,-1.02,-16.07,-0.06,24,31.0,-1.02,-16.07,-13.39,-19.11
WIF,-29.4,short,6.39,-11.21,0.57,40,31.0,5.76,-63.59,6.39,-11.21
