coin,ver,dir,ret,mdd,calmar,n_trades,days
BASED,v2,short,4.958731449357652,-11.26490144810662,0.4401930609158684,27,25.10763888888889
BSB,v2,short,-10.348891982455324,-20.648949716802065,-0.5011824874576756,18,22.10763888888889
TRIA,v2,short,48.99869099880837,-26.679004751413338,1.8366011571781973,275,78.10694444444445
KITE,v2,short,0.0,0.0,0.0,0,15.102777777777778
EDGE,v2,short,-9.173973163304243,-22.948515224823325,-0.3997632558546005,28,23.100694444444443
SPACE,v2,long,-18.362865301496765,-39.53883888455916,-0.4644260129921998,102,91.10972222222222
ZAMA,v2,long,13.097259609964704,-17.065652659378998,0.7674631537028658,130,104.10833333333332
OPN,v2,long,-16.927411519378428,-38.87866412707193,-0.4353907702191743,109,60.10625
FOGO,v2,long,-7.963898906135103,-28.313656766728528,-0.281274120533011,79,103.10555555555555
BREV,v2,long,-20.941621724653785,-43.16921136652695,-0.4851054967590105,120,115.10138888888888
