coin,ver,dir,ret,mdd,calmar,n_trades,days
KAT,v1,short,71.47484556090107,-17.957829567501875,3.9801494547118583,51,53.110416666666666
KAT,v1,long,38.31030361910191,-37.596788565011565,1.0189780851323658,73,53.110416666666666
KAT,v2,short,25.066698274806047,-9.725487378384987,2.5774233516067366,95,53.110416666666666
KAT,v2,long,39.23945907092443,-29.235768384880682,1.3421730037790685,138,53.110416666666666
ROBO,v1,short,-44.761905184757886,-85.16825313099868,-0.5255703098184821,44,55.110416666666666
ROBO,v1,long,4.770971419762055,-39.479267461078656,0.12084751634425847,57,55.110416666666666
ROBO,v2,short,13.610999957246737,-20.50769912560603,0.6637019528071759,84,55.110416666666666
ROBO,v2,long,41.765187813193755,-20.268932513892313,2.060551920263582,102,55.110416666666666
SPACE,v1,short,-139.70877377441178,-120.27525557824667,-1.1615753639660518,78,91.10972222222222
SPACE,v1,long,27.315388121732415,-45.02602665057766,0.6066577522754159,50,91.10972222222222
SPACE,v2,short,85.39491639754897,-41.02995918164825,2.0812820217414236,279,91.10972222222222
SPACE,v2,long,-18.362865301496765,-39.538838884559155,-0.4644260129921998,102,91.10972222222222
ZAMA,v1,short,96.56698101156354,-21.15030068062408,4.5657497957004995,118,104.10833333333333
ZAMA,v1,long,-9.943806671444339,-42.39893424731325,-0.23452963731215629,68,104.10833333333333
ZAMA,v2,short,74.95313083142288,-18.02476454824358,4.158341743150629,247,104.10833333333333
ZAMA,v2,long,13.097259609964704,-17.065652659378998,0.7674631537028658,130,104.10833333333333
BASED,v1,short,28.03130964574975,-9.98868563154171,2.806306122722899,17,25.10763888888889
BASED,v1,long,114.69783724445392,-25.340679834046504,4.526233628915965,84,25.10763888888889
BASED,v2,short,4.958731449357652,-11.26490144810662,0.4401930609158684,27,25.10763888888889
BASED,v2,long,26.61676325011938,-27.606397236119328,0.9641520051480987,159,25.10763888888889
BSB,v1,short,24.347313981336924,-28.569436859205805,0.8522153972205999,7,22.10763888888889
BSB,v1,long,94.56247109423498,-33.09477689108489,2.857323117948208,91,22.10763888888889
BSB,v2,short,-10.348891982455324,-20.648949716802065,-0.5011824874576756,18,22.10763888888889
BSB,v2,long,25.197053053478548,-18.74395352888345,1.3442763296788596,162,22.10763888888889
TRIA,v1,short,145.04669635544124,-28.10269436649459,5.161309248994041,142,78.10694444444445
TRIA,v1,long,67.82088207206921,-25.26302894111254,2.6845902852804353,99,78.10694444444445
TRIA,v2,short,48.998690998808364,-26.679004751413338,1.8366011571781975,275,78.10694444444445
TRIA,v2,long,9.50571281876214,-25.45885503619288,0.3733755035428186,197,78.10694444444445
OFC,v1,short,0.0,0.0,0.0,0,15.10625
OFC,v1,long,-25.698831354108435,-40.77486774707332,-0.6302615501665976,46,15.10625
OFC,v2,short,0.0,0.0,0.0,0,15.10625
OFC,v2,long,7.938432148107358,-20.993454384391423,0.37813844271429486,90,15.10625
OPN,v1,short,29.03380961612277,-36.82338800493572,0.78846111640328,67,60.10625
OPN,v1,long,-40.31218244599104,-70.46091975697594,-0.5721211500648905,54,60.10625
OPN,v2,short,34.31942873343549,-13.711635329413982,2.5029420567956615,129,60.10625
OPN,v2,long,-16.927411519378428,-38.87866412707193,-0.4353907702191743,109,60.10625
ESP,v1,short,-2.5371040703916607,-114.64842323021725,-0.0221294283768481,85,72.10625
ESP,v1,long,-80.01282725456774,-82.46027953197792,-0.9703196218676282,35,72.10625
ESP,v2,short,-30.30259874588187,-65.26239629473174,-0.46431943149975974,175,72.10625
ESP,v2,long,-33.68546249824178,-37.658184562536,-0.8945057466140719,53,72.10625
FOGO,v1,short,67.32719183510734,-35.1987104399593,1.9127743884240207,105,103.10555555555555
FOGO,v1,long,-95.09818462897549,-96.07534081086463,-0.9898292717606614,35,103.10555555555555
FOGO,v2,short,-0.5108289145449589,-33.30495934333811,-0.015337923378883766,207,103.10555555555555
FOGO,v2,long,-7.963898906135103,-28.313656766728528,-0.28127412053301104,79,103.10555555555555
ZKP,v1,short,17.060678591109056,-57.554875763840485,0.29642455768843173,80,107.1048611111111
ZKP,v1,long,-21.503946183181064,-35.54008106675583,-0.6050618214063626,37,107.1048611111111
ZKP,v2,short,38.16165351525157,-24.436769364048057,1.5616488802892203,159,107.1048611111111
ZKP,v2,long,-22.45883647749098,-36.903800485622824,-0.6085778749600765,71,107.1048611111111
AZTEC,v1,short,-34.783924876163724,-103.39750358527564,-0.3364097165796287,66,72.10347222222222
AZTEC,v1,long,-15.574730296814291,-24.898334418137118,-0.6255330190066418,35,72.10347222222222
AZTEC,v2,short,-22.327762478195837,-49.70616781511064,-0.44919500858016687,132,72.10347222222222
AZTEC,v2,long,4.7404800103961175,-12.63460885918988,0.37519800282128185,65,72.10347222222222
KITE,v1,short,0.0,0.0,0.0,0,15.102777777777778
KITE,v1,long,14.443558714515984,-9.409649129169532,1.5349731447202994,20,15.102777777777778
KITE,v2,short,0.0,0.0,0.0,0,15.102777777777778
KITE,v2,long,5.50523807427403,-10.951684022972737,0.5026841591417356,39,15.102777777777778
RIVER,v1,short,129.72765496369252,-113.208361651598,1.1459193744268918,304,105.10277777777777
RIVER,v1,long,130.0759717131401,-30.140673097419167,4.3156292924419795,174,105.10277777777777
RIVER,v2,short,24.031787033428962,-39.54836912223513,0.6076555763690812,543,105.10277777777777
RIVER,v2,long,70.32823580055658,-24.084126877059028,2.92010734537139,304,105.10277777777777
BREV,v1,short,95.84813521161564,-42.653667946714094,2.247125272587477,81,115.10138888888889
BREV,v1,long,-24.870418033369358,-74.87919691091983,-0.33214055517925084,57,115.10138888888889
BREV,v2,short,-12.28196281586968,-29.693216516553395,-0.41362857435881767,158,115.10138888888889
BREV,v2,long,-20.941621724653782,-43.16921136652695,-0.48510549675901055,120,115.10138888888889
EDGE,v1,short,2.798311516169065,-47.07188461208385,0.05944762015011204,14,23.100694444444443
EDGE,v1,long,25.99215259365501,-35.598583845684544,0.7301456908040999,55,23.100694444444443
EDGE,v2,short,-9.173973163304243,-22.948515224823325,-0.39976325585460054,28,23.100694444444443
EDGE,v2,long,11.491298644251243,-18.79155608755276,0.6115139475789823,104,23.100694444444443
UP,v1,short,0.0,0.0,0.0,0,16.101388888888888
UP,v1,long,-10.332929438631368,-48.870345623306996,-0.21143557113914577,31,16.101388888888888
UP,v2,short,0.0,0.0,0.0,0,16.101388888888888
UP,v2,long,20.212649547053456,-15.75797493710497,1.2826933427504799,46,16.101388888888888
ACU,v1,short,116.55816841170889,-28.456217926499168,4.096052704993059,146,91.10069444444444
ACU,v1,long,4.619671419787755,-27.25986246157128,0.16946789171442772,49,91.10069444444444
ACU,v2,short,77.01874324289992,-20.155431673459727,3.8212400751662723,278,91.10069444444444
ACU,v2,long,20.54000792014804,-14.245206430624316,1.4418891028487428,87,91.10069444444444
