coin,adx,trend7d,regime,swap_mode,v2_dir,v2_ret,v2_mdd,v2_trades,hybrid_ret,hybrid_mdd,hybrid_trades,days
KAT,24.31,-45.04,TREND,trend_short,short,25.07,-9.73,95,-10.73,-12.14,160,53.1
ROBO,25.18,5.48,TREND,trend_long,long,42.04,-20.27,102,-7.37,-8.57,177,55.1
SPACE,27.42,-47.67,TREND,trend_short,short,85.39,-41.03,279,-21.3,-24.36,400,91.3
ZAMA,26.07,-30.43,TREND,trend_short,short,74.95,-18.02,247,-10.09,-10.99,412,104.3
BASED,27.42,-46.45,TREND,trend_short,long,29.43,-27.61,161,-1.95,-2.75,42,25.3
BSB,28.32,-15.42,TREND,trend_short,long,27.14,-18.74,169,-0.31,-1.73,17,22.3
TRIA,24.27,-13.25,TREND,trend_short,short,49.0,-26.68,275,-19.23,-22.79,321,78.3
OFC,25.07,15.54,TREND,trend_long,long,14.67,-20.99,90,2.11,-3.72,95,15.1
OPN,25.81,5.37,TREND,trend_long,short,34.32,-13.71,129,-9.59,-11.13,181,60.3
ESP,25.55,7.18,TREND,trend_long,short,-30.3,-65.26,175,-8.9,-9.66,166,72.1
FOGO,29.16,-53.03,TREND,trend_short,short,-0.51,-33.3,207,-19.03,-19.21,396,103.3
ZKP,27.75,-23.25,TREND,trend_short,short,38.16,-24.44,159,-18.76,-22.51,388,107.1
AZTEC,22.92,-4.48,MEAN_REV,div(long),long,4.43,-12.63,65,4.43,-12.63,65,72.1
KITE,25.23,21.15,TREND,trend_long,long,4.32,-10.95,40,-9.8,-10.8,104,15.3
RIVER,26.71,46.46,TREND,trend_long,long,69.85,-24.08,304,-16.26,-17.83,256,105.1
BREV,27.34,25.71,TREND,trend_long,short,-12.28,-29.69,158,-18.92,-20.19,285,115.3
EDGE,24.92,38.75,TREND,trend_long,long,11.33,-18.79,105,-6.21,-8.37,125,23.3
UP,26.76,-26.94,TREND,trend_short,long,20.16,-15.76,46,0.0,0.0,0,16.1
ACU,27.84,-6.28,TREND,trend_short,short,77.02,-20.16,278,-23.01,-27.09,397,91.1
