coin,dir,variant,arm_pct,give_pct,ret,mdd,calmar,n_trades,days,exit_TP,exit_SL,exit_TRAIL,exit_EOD
KAT,short,baseline,0.0,0.0,25.066698274806047,-9.725487378384987,2.5774233516067366,95,53.11944444444445,92,3,0,0
KAT,short,tight,1.0,0.4,17.82166813157942,-10.867759237390109,1.6398659320924827,200,53.11944444444445,41,3,156,0
KAT,short,mid,1.5,0.6,18.145534005747503,-10.008108240127623,1.8130833090906011,132,53.11944444444445,65,3,64,0
KAT,short,loose,2.0,0.8,24.33934194124649,-9.560438366550347,2.5458395324636935,103,53.11944444444445,87,3,13,0
ROBO,long,baseline,0.0,0.0,42.03905961958767,-20.268932513892313,2.0740638211101707,102,54.97569444444444,93,8,0,1
ROBO,long,tight,1.0,0.4,0.10895255390772718,-19.88817527857896,0.005478257928723967,191,54.97569444444444,36,8,146,1
ROBO,long,mid,1.5,0.6,39.3790628607278,-21.291791704912864,1.849495026369316,137,54.97569444444444,66,8,62,1
ROBO,long,loose,2.0,0.8,41.92433442720735,-20.380924806117893,2.0570378835126566,110,54.97569444444444,84,8,17,1
SPACE,short,baseline,0.0,0.0,84.55541532737502,-41.221236371469146,2.0512585931531926,276,90.97569444444444,268,8,0,0
SPACE,short,tight,1.0,0.4,63.38645270551437,-42.82186055532968,1.480235839440311,569,90.97569444444444,149,7,413,0
SPACE,short,mid,1.5,0.6,62.12604593798498,-44.26472585474557,1.4035113679874858,393,90.97569444444444,221,10,162,0
SPACE,short,loose,2.0,0.8,92.87670587364015,-40.49254530795628,2.293674185391133,310,90.97569444444444,261,8,41,0
ZAMA,short,baseline,0.0,0.0,74.95313083142288,-18.02476454824358,4.158341743150629,247,103.97569444444444,239,8,0,0
ZAMA,short,tight,1.0,0.4,43.73443996701758,-18.512174657187696,2.3624690657311223,514,103.97569444444444,108,7,399,0
ZAMA,short,mid,1.5,0.6,53.147352852924655,-18.208883326666676,2.9187595910997484,338,103.97569444444444,187,10,141,0
ZAMA,short,loose,2.0,0.8,75.47587141511441,-17.569012207445162,4.295965562772519,264,103.97569444444444,225,8,31,0
BASED,long,baseline,0.0,0.0,26.989216357274838,-27.606397236119328,0.9776435558191204,159,24.975694444444443,151,7,0,1
BASED,long,tight,1.0,0.4,27.40105091782364,-25.25967341325478,1.0847745522887557,291,24.975694444444443,98,5,187,1
BASED,long,mid,1.5,0.6,13.225072567269628,-31.47455991686348,0.4201829224047031,215,24.975694444444443,126,7,81,1
BASED,long,loose,2.0,0.8,28.462291381353978,-27.26709880703243,1.0438327738047914,178,24.975694444444443,146,7,24,1
BSB,long,baseline,0.0,0.0,25.559176324923122,-18.74395352888345,1.3635958009359004,163,21.975694444444443,158,5,0,0
BSB,long,tight,1.0,0.4,29.828243914823044,-18.74395352888345,1.5913528524736944,278,21.975694444444443,78,4,196,0
BSB,long,mid,1.5,0.6,23.728710817483034,-18.74395352888345,1.265939481813073,210,21.975694444444443,118,5,87,0
BSB,long,loose,2.0,0.8,25.40234840014241,-18.74395352888345,1.3552289468173684,177,21.975694444444443,147,5,25,0
TRIA,short,baseline,0.0,0.0,52.19964705234405,-26.131792142429166,1.9975532779318848,278,77.97569444444444,266,12,0,0
